"","data","horario","id_video","id_plataforma","alim_disp","alim_esco_capuchin","id_animal","id_especie","sex_age","n_classe","n_total","id_capuchin","alim","vocalizacao","agonismo_disputa_alimento","agonismo_deslocar","agonismo_deslocado","agonismo_ameaca","agonismo_int_intra","agonismo_int_inter","positiva_int_intra","positiva_int_inter","neutra_int_intra","neutra_int_inter"
"26",2025-07-02,1899-12-31 14:37:00,7020016,4,"banana, manga, mamão, abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2025-07-02,1899-12-31 14:38:00,7020017,4,"banana, manga, mamão, abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2025-07-02,1899-12-31 14:41:00,7020018,4,"banana, manga, mamão, abacate",NA,"quati","Nasua nasua",NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2025-07-02,1899-12-31 19:58:00,7020021,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2025-07-02,1899-12-31 20:00:00,7020022,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2025-07-02,1899-12-31 20:15:00,7020023,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2025-07-02,1899-12-31 20:15:00,7020023,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2025-07-02,1899-12-31 21:19:00,7020024,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2025-07-02,1899-12-31 21:19:00,7020024,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2025-07-02,1899-12-31 21:34:00,7020025,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2025-07-02,1899-12-31 21:34:00,7020025,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2025-07-02,1899-12-31 21:34:00,7020025,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2025-07-02,1899-12-31 21:34:00,7020025,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2025-07-02,1899-12-31 21:53:00,7020026,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2025-07-02,1899-12-31 21:53:00,7020026,4,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2025-07-02,1899-12-31 22:56:00,7020027,4,"banana, manga, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2025-07-03,1899-12-31 02:23:00,7030007,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2025-07-03,1899-12-31 02:23:00,7030007,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2025-07-03,1899-12-31 02:23:00,7030007,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2025-07-03,1899-12-31 02:29:00,7030008,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2025-07-03,1899-12-31 02:29:00,7030008,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2025-07-03,1899-12-31 03:09:00,7030009,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2025-07-03,1899-12-31 03:09:00,7030009,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2025-07-03,1899-12-31 03:18:00,7030010,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2025-07-03,1899-12-31 03:18:00,7030010,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2025-07-03,1899-12-31 03:18:00,7030010,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2025-07-03,1899-12-31 03:18:00,7030010,3,"banana, manga, mamão, abacate",NA,"morcego","ni",NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
